"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","cc:03:3e:14:00:10","CDP/VTP/DTP/PAgP/UDLD","CDP","335","Device ID: R3  Port ID: Ethernet1/0  "
"2","80.692225","0.0.0.0","255.255.255.255","DHCP","406","DHCP Discover - Transaction ID 0xd735d432"
"3","80.763635","cc:03:3e:14:00:10","Broadcast","ARP","60","Who has 10.0.0.1? Tell 10.0.0.200"
"4","80.765572","cc:02:1b:f8:00:10","Broadcast","ARP","60","Who has 10.0.0.1? Tell 10.0.0.100"
"5","80.766569","cc:01:0d:50:00:10","Broadcast","ARP","60","Who has 10.0.0.2? Tell 10.0.0.1"
"6","81.713037","0.0.0.0","255.255.255.255","DHCP","406","DHCP Discover - Transaction ID 0xd735d432"
"7","84.725977","0.0.0.0","255.255.255.255","DHCP","406","DHCP Discover - Transaction ID 0xd735d432"
"8","86.090328","cc:03:3e:14:00:10","Broadcast","ARP","60","Who has 10.0.0.2? Tell 10.0.0.200"
"9","86.255336","cc:02:1b:f8:00:10","Broadcast","ARP","60","Who has 10.0.0.2? Tell 10.0.0.100"
"10","86.894178","10.0.0.1","10.0.0.2","DHCP","342","DHCP Offer    - Transaction ID 0xd735d432"
"11","86.894178","10.0.0.1","10.0.0.2","DHCP","342","DHCP Offer    - Transaction ID 0xd735d432"
"12","86.895175","10.0.0.1","255.255.255.255","DHCP","342","DHCP Offer    - Transaction ID 0xd735d432"
"13","91.588620","10.0.0.100","10.0.0.2","DHCP","342","DHCP Offer    - Transaction ID 0xd735d432"
"14","91.588620","10.0.0.100","10.0.0.2","DHCP","342","DHCP Offer    - Transaction ID 0xd735d432"
"15","91.589618","10.0.0.100","255.255.255.255","DHCP","342","DHCP Offer    - Transaction ID 0xd735d432"
"16","91.635494","10.0.0.200","10.0.0.2","DHCP","342","DHCP Offer    - Transaction ID 0xd735d432"
"17","91.635494","10.0.0.200","10.0.0.2","DHCP","342","DHCP Offer    - Transaction ID 0xd735d432"
"18","91.636681","10.0.0.200","255.255.255.255","DHCP","342","DHCP Offer    - Transaction ID 0xd735d432"
"19","97.013407","0.0.0.0","255.255.255.255","DHCP","406","DHCP Discover - Transaction ID 0xab78f337"
"20","97.104017","10.0.0.200","10.0.0.2","DHCP","342","DHCP Offer    - Transaction ID 0xab78f337"
"21","97.104754","10.0.0.1","10.0.0.2","DHCP","342","DHCP Offer    - Transaction ID 0xab78f337"
"22","97.104754","10.0.0.100","10.0.0.2","DHCP","342","DHCP Offer    - Transaction ID 0xab78f337"
"23","98.060200","0.0.0.0","255.255.255.255","DHCP","406","DHCP Request  - Transaction ID 0xab78f337"
"24","98.082142","10.0.0.200","10.0.0.2","DHCP","342","DHCP ACK      - Transaction ID 0xab78f337"
"25","99.066525","Private_66:68:00","Broadcast","ARP","64","Gratuitous ARP for 10.0.0.2 (Request)"
"26","100.081790","Private_66:68:00","Broadcast","ARP","64","Gratuitous ARP for 10.0.0.2 (Request)"
"27","101.088101","Private_66:68:00","Broadcast","ARP","64","Gratuitous ARP for 10.0.0.2 (Request)"
